mode,segments_glob,segments_limit,hidden_bytes,repeat,rc,runner_elapsed_s,segments,segments_bytes,concurrency,duration_s,elapsed_s,sent_ok,sent_err,post_qps,recv_count,unique_msg_ids,dup_count,e2e_ms_p50,p95,p99,throughput_avg_Bps,window_Bps,window_s,expected_unique,got_unique,loss,loss_rate,raw_preview
embed-hls,.\hls_seg*.ts,3,1024,1,0,29.168,3,22896144,1,5.000,28.714,22,0,0.766,22,22,0,13757.0,22848.0,23223.0,791.7062027763135,1024.0,5.0,22,22,0,0.0000,ents=3 segments_bytes=22896144 hidden_bytes=1024\nconcurrency=1 duration_s=5.000 elapsed_s=28.714\nsent_ok=22 sent_err=0 post_qps=0.766\n--- C stats (/stats) ---\nrecv_count=22 unique_msg_ids=22 dup_count=0\ne2e_ms_p50=13757.0 p95=22848.0 p99=23223.0\nthroughput_avg_Bps=791.7062027763135 window_Bps=1024.0 window_s=5.0\n--- final loss (drained) ---\nexpected_unique=22 got_unique=22 loss=0 loss_rate=0.0000\n
embed-hls,.\hls_seg*.ts,3,1024,2,0,27.990,3,22896144,1,5.000,27.662,22,0,0.795,22,22,0,11769.0,21217.0,21594.0,820.2140828660889,1024.0,5.0,22,22,0,0.0000,ents=3 segments_bytes=22896144 hidden_bytes=1024\nconcurrency=1 duration_s=5.000 elapsed_s=27.662\nsent_ok=22 sent_err=0 post_qps=0.795\n--- C stats (/stats) ---\nrecv_count=22 unique_msg_ids=22 dup_count=0\ne2e_ms_p50=11769.0 p95=21217.0 p99=21594.0\nthroughput_avg_Bps=820.2140828660889 window_Bps=1024.0 window_s=5.0\n--- final loss (drained) ---\nexpected_unique=22 got_unique=22 loss=0 loss_rate=0.0000\n
embed-hls,.\hls_seg*.ts,3,1024,3,0,29.146,3,22896144,1,5.000,28.747,22,0,0.765,22,22,0,12782.0,22875.0,23288.0,790.3452147067078,1024.0,5.0,22,22,0,0.0000,ents=3 segments_bytes=22896144 hidden_bytes=1024\nconcurrency=1 duration_s=5.000 elapsed_s=28.747\nsent_ok=22 sent_err=0 post_qps=0.765\n--- C stats (/stats) ---\nrecv_count=22 unique_msg_ids=22 dup_count=0\ne2e_ms_p50=12782.0 p95=22875.0 p99=23288.0\nthroughput_avg_Bps=790.3452147067078 window_Bps=1024.0 window_s=5.0\n--- final loss (drained) ---\nexpected_unique=22 got_unique=22 loss=0 loss_rate=0.0000\n
embed-hls,.\hls_seg*.ts,9,1024,1,0,30.092,9,71489256,1,5.000,29.716,8,0,0.269,8,8,0,13880.0,24085.0,24085.0,277.4691776182089,409.6,5.0,8,8,0,0.0000,2\nsegments=9 segments_bytes=71489256 hidden_bytes=1024\nconcurrency=1 duration_s=5.000 elapsed_s=29.716\nsent_ok=8 sent_err=0 post_qps=0.269\n--- C stats (/stats) ---\nrecv_count=8 unique_msg_ids=8 dup_count=0\ne2e_ms_p50=13880.0 p95=24085.0 p99=24085.0\nthroughput_avg_Bps=277.4691776182089 window_Bps=409.6 window_s=5.0\n--- final loss (drained) ---\nexpected_unique=8 got_unique=8 loss=0 loss_rate=0.0000\n
embed-hls,.\hls_seg*.ts,9,1024,2,0,31.173,9,71489256,1,5.000,30.797,8,0,0.260,8,8,0,13873.0,24726.0,24726.0,267.82620067348876,409.6,5.0,8,8,0,0.0000,\nsegments=9 segments_bytes=71489256 hidden_bytes=1024\nconcurrency=1 duration_s=5.000 elapsed_s=30.797\nsent_ok=8 sent_err=0 post_qps=0.260\n--- C stats (/stats) ---\nrecv_count=8 unique_msg_ids=8 dup_count=0\ne2e_ms_p50=13873.0 p95=24726.0 p99=24726.0\nthroughput_avg_Bps=267.82620067348876 window_Bps=409.6 window_s=5.0\n--- final loss (drained) ---\nexpected_unique=8 got_unique=8 loss=0 loss_rate=0.0000\n
embed-hls,.\hls_seg*.ts,9,1024,3,0,28.046,9,71489256,1,5.000,27.648,7,0,0.253,7,7,0,14806.0,21928.0,21928.0,261.12932604735886,409.6,5.0,7,7,0,0.0000,\nsegments=9 segments_bytes=71489256 hidden_bytes=1024\nconcurrency=1 duration_s=5.000 elapsed_s=27.648\nsent_ok=7 sent_err=0 post_qps=0.253\n--- C stats (/stats) ---\nrecv_count=7 unique_msg_ids=7 dup_count=0\ne2e_ms_p50=14806.0 p95=21928.0 p99=21928.0\nthroughput_avg_Bps=261.12932604735886 window_Bps=409.6 window_s=5.0\n--- final loss (drained) ---\nexpected_unique=7 got_unique=7 loss=0 loss_rate=0.0000\n
embed-hls,.\hls_seg*.ts,18,1024,1,0,36.131,18,132625728,1,5.000,35.721,5,0,0.140,5,5,0,19375.0,28920.0,28920.0,144.17661635503492,204.8,5.0,5,5,0,0.0000,egments=18 segments_bytes=132625728 hidden_bytes=1024\nconcurrency=1 duration_s=5.000 elapsed_s=35.721\nsent_ok=5 sent_err=0 post_qps=0.140\n--- C stats (/stats) ---\nrecv_count=5 unique_msg_ids=5 dup_count=0\ne2e_ms_p50=19375.0 p95=28920.0 p99=28920.0\nthroughput_avg_Bps=144.17661635503492 window_Bps=204.8 window_s=5.0\n--- final loss (drained) ---\nexpected_unique=5 got_unique=5 loss=0 loss_rate=0.0000\n
embed-hls,.\hls_seg*.ts,18,1024,2,0,35.572,18,132625728,1,5.000,35.129,5,0,0.142,5,5,0,19693.0,28841.0,28841.0,146.66704861210576,204.8,5.0,5,5,0,0.0000,egments=18 segments_bytes=132625728 hidden_bytes=1024\nconcurrency=1 duration_s=5.000 elapsed_s=35.129\nsent_ok=5 sent_err=0 post_qps=0.142\n--- C stats (/stats) ---\nrecv_count=5 unique_msg_ids=5 dup_count=0\ne2e_ms_p50=19693.0 p95=28841.0 p99=28841.0\nthroughput_avg_Bps=146.66704861210576 window_Bps=204.8 window_s=5.0\n--- final loss (drained) ---\nexpected_unique=5 got_unique=5 loss=0 loss_rate=0.0000\n
embed-hls,.\hls_seg*.ts,18,1024,3,0,35.687,18,132625728,1,5.000,35.279,5,0,0.142,5,5,0,19856.0,29110.0,29110.0,145.9188326493388,204.8,5.0,5,5,0,0.0000,segments=18 segments_bytes=132625728 hidden_bytes=1024\nconcurrency=1 duration_s=5.000 elapsed_s=35.279\nsent_ok=5 sent_err=0 post_qps=0.142\n--- C stats (/stats) ---\nrecv_count=5 unique_msg_ids=5 dup_count=0\ne2e_ms_p50=19856.0 p95=29110.0 p99=29110.0\nthroughput_avg_Bps=145.9188326493388 window_Bps=204.8 window_s=5.0\n--- final loss (drained) ---\nexpected_unique=5 got_unique=5 loss=0 loss_rate=0.0000\n
embed-hls,.\hls_seg*.ts,3,4096,1,0,30.071,3,22896144,1,5.000,29.743,23,0,0.773,23,23,0,13073.0,23195.0,23624.0,3190.7874682472484,4096.0,5.0,23,23,0,0.0000,nts=3 segments_bytes=22896144 hidden_bytes=4096\nconcurrency=1 duration_s=5.000 elapsed_s=29.743\nsent_ok=23 sent_err=0 post_qps=0.773\n--- C stats (/stats) ---\nrecv_count=23 unique_msg_ids=23 dup_count=0\ne2e_ms_p50=13073.0 p95=23195.0 p99=23624.0\nthroughput_avg_Bps=3190.7874682472484 window_Bps=4096.0 window_s=5.0\n--- final loss (drained) ---\nexpected_unique=23 got_unique=23 loss=0 loss_rate=0.0000\n
