hidden_bytes_B,segments_limit,k,mean_e2e_ms_p50,mean_p95_ms,mean_p99_ms,n_runs
1024,6,1,23069.3,39087.3,39780.3,3
1024,6,2,21638.3,36964.3,37256.7,3
1024,6,3,22318.0,37681.3,38284.7,3
1024,6,5,22414.7,37481.3,38014.3,3
1024,9,1,21003.7,36673.3,37090.7,3
1024,9,2,22730.0,37355.7,38305.0,3
1024,9,3,22794.7,38844.3,39583.7,3
1024,9,5,22939.7,38058.0,38714.7,3
1024,12,1,21212.7,37475.3,37475.3,3
1024,12,2,22466.3,38134.7,38134.7,3
1024,12,3,23095.0,38065.0,38065.0,3
1024,12,5,23101.3,38830.3,39106.7,3
1024,15,1,21907.0,39101.0,39101.0,3
1024,15,2,22922.0,38720.0,38720.0,3
1024,15,3,23160.7,38651.0,38651.0,3
1024,15,5,22840.7,39652.0,39652.0,3
4096,6,1,21756.3,37449.0,38010.0,3
4096,6,2,22395.0,37524.7,37631.3,3
4096,6,3,39237.0,64610.0,65277.3,3
4096,6,5,34021.7,53875.3,53875.3,3
4096,9,1,29592.0,51467.7,51467.7,3
4096,9,2,29749.0,45864.7,45942.3,3
4096,9,3,22056.7,36634.7,37555.3,3
4096,9,5,24498.0,39139.7,39936.3,3
4096,12,1,21008.0,37413.3,37413.3,3
4096,12,2,23819.3,39337.3,39337.3,3
4096,12,3,23767.3,39059.3,39059.3,3
4096,12,5,22856.7,40533.3,40533.3,3
4096,15,1,22928.3,38234.3,38234.3,3
4096,15,2,20977.0,36974.3,36974.3,3
4096,15,3,30686.0,61441.3,61441.3,3
4096,15,5,38046.0,65901.7,65901.7,3
65536,6,1,31978.3,51503.3,51503.3,3
65536,6,2,19845.7,32017.7,32497.3,3
65536,6,3,23684.3,41710.7,42744.7,3
65536,6,5,24368.0,42290.3,43336.0,3
65536,9,1,31877.0,53229.7,53229.7,3
65536,9,2,26002.0,44865.0,45758.7,3
65536,9,3,27089.0,53966.7,55145.7,3
65536,9,5,22722.3,37681.3,38471.7,3
65536,12,1,22412.7,38781.0,38781.0,3
65536,12,2,21999.7,37156.0,37156.0,3
65536,12,3,22477.0,37753.7,37753.7,3
65536,12,5,23233.7,39138.0,39138.0,3
65536,15,1,22477.7,37542.0,37542.0,3
65536,15,2,22139.0,39170.0,39170.0,3
65536,15,3,23391.0,39502.0,39502.0,3
65536,15,5,23234.0,38698.7,38698.7,3
