hidden_bytes_B,segments_limit,mean_e2e_ms_p50_avg_k,mean_p95_ms_avg_k,delta_p50_vs_seg6_ms,delta_p50_vs_seg6_pct
1024,6,22360.1,37803.6,0.0,0.0
1024,9,22367.0,37732.8,6.9,0.03
1024,12,22468.8,38126.3,108.8,0.49
1024,15,22707.6,39031.0,347.5,1.55
4096,6,29352.5,48364.8,0.0,0.0
4096,9,26473.9,43276.7,-2878.6,-9.81
4096,12,22862.8,39085.8,-6489.7,-22.11
4096,15,28159.3,50637.9,-1193.2,-4.06
65536,6,24969.1,41880.5,0.0,0.0
65536,9,26922.6,47435.7,1953.5,7.82
65536,12,22530.8,38207.2,-2438.3,-9.77
65536,15,22810.4,38728.2,-2158.7,-8.65
