hidden_bytes_B,segments_limit,k,mean_e2e_ms_p50,mean_p95_ms,mean_p99_ms,n_runs
1024,6,1,351.0,351.0,351.0,1
1024,6,2,310.0,310.0,310.0,1
1024,6,3,240.0,240.0,240.0,1
1024,6,5,211.0,211.0,211.0,1
1024,9,1,113.0,113.0,113.0,1
1024,9,2,112.0,112.0,112.0,1
1024,9,3,115.0,115.0,115.0,1
1024,9,5,263.0,263.0,263.0,1
1024,12,1,194.0,194.0,194.0,1
1024,12,2,201.0,201.0,201.0,1
1024,12,3,192.0,192.0,192.0,1
1024,12,5,228.0,228.0,228.0,1
1024,15,1,197.0,197.0,197.0,1
1024,15,2,170.0,170.0,170.0,1
1024,15,3,154.0,154.0,154.0,1
1024,15,5,121.0,121.0,121.0,1
4096,6,1,83.0,83.0,83.0,1
4096,6,2,151.0,151.0,151.0,1
4096,6,3,269.0,269.0,269.0,1
4096,6,5,349.0,349.0,349.0,1
4096,9,1,159.0,159.0,159.0,1
4096,9,2,215.0,215.0,215.0,1
4096,9,3,31523.0,34351.0,34351.0,1
4096,9,5,219.0,219.0,219.0,1
4096,12,1,93.0,93.0,93.0,1
4096,12,2,32352.0,35168.0,35168.0,1
4096,12,3,301.0,301.0,301.0,1
4096,12,5,438.0,438.0,438.0,1
4096,15,1,31820.0,34578.0,34578.0,1
4096,15,2,358.0,358.0,358.0,1
4096,15,3,247.0,247.0,247.0,1
4096,15,5,364.0,364.0,364.0,1
65536,6,2,133.0,133.0,133.0,1
65536,6,3,32388.0,35117.0,35117.0,1
65536,6,5,255.0,255.0,255.0,1
65536,9,2,30253.0,33929.0,33929.0,1
65536,9,3,200.0,200.0,200.0,1
65536,9,5,224.0,224.0,224.0,1
65536,12,2,218.0,218.0,218.0,1
65536,12,3,265.0,265.0,265.0,1
65536,12,5,34730.0,65903.0,65903.0,1
65536,15,2,212.0,212.0,212.0,1
65536,15,3,34641.0,65332.0,65332.0,1
65536,15,5,298.0,298.0,298.0,1
