hidden_bytes_B,segments_limit,mean_e2e_ms_p50_avg_k,mean_p95_ms_avg_k,delta_p50_vs_seg6_ms,delta_p50_vs_seg6_pct
1024,6,278.0,278.0,0.0,0.0
1024,9,150.8,150.8,-127.2,-45.77
1024,12,203.8,203.8,-74.2,-26.71
1024,15,160.5,160.5,-117.5,-42.27
4096,6,213.0,213.0,0.0,0.0
4096,9,8029.0,8736.0,7816.0,3669.48
4096,12,8296.0,9000.0,8083.0,3794.84
4096,15,8197.2,8886.8,7984.2,3748.47
65536,6,10925.3,11835.0,0.0,0.0
65536,9,10225.7,11451.0,-699.7,-6.4
65536,12,11737.7,22128.7,812.3,7.44
65536,15,11717.0,21947.3,791.7,7.25
