group,key_or_count,n_e2e,sent_ok_cells,sent_err_cells,mean_p50_ms,mean_p95_ms,mean_p99_ms,stdev_p50_ms
all_valid_e2e,44,48,44,4,5362.0,7104.6,7104.6,11969.2
by_hidden,1024,16,,,198.2,198.2,198.2,69.9
by_hidden,4096,16,,,6183.8,6708.9,6708.9,12759.3
by_hidden,65536,12,,,11151.4,16840.5,16840.5,16176.8
by_segments_limit,6,11,,,3158.2,3406.3,3406.3,9694.8
by_segments_limit,9,11,,,5763.3,6354.5,6354.5,12425.3
by_segments_limit,12,11,,,6292.0,9381.9,9381.9,13483.0
by_segments_limit,15,11,,,6234.7,9275.5,9275.5,13362.2
by_k,1,8,,,4126.2,4471.0,4471.0,11190.3
by_k,2,12,,,5390.4,5931.4,5931.4,12112.0
by_k,3,12,,,8377.9,11398.6,11398.6,14773.7
by_k,5,12,,,3141.7,5739.4,5739.4,9948.1
