hidden_bytes_B,segments_limit,k,mean_throughput_Bps,stdev_throughput_Bps,mean_post_qps,stdev_post_qps,mean_sent_ok,mean_e2e_ms_p50,n_runs
1024,6,1,805.55,16.37,0.7853,0.0157,39.7,23069.3,3
1024,6,2,804.41,7.63,0.784,0.0071,37.7,21638.3,3
1024,6,3,806.48,9.08,0.7847,0.0103,38.3,22318.0,3
1024,6,5,797.1,1.72,0.7773,0.0019,38,22414.7,3
4096,6,1,3222.48,30.08,0.7857,0.0074,38.3,21756.3,3
4096,6,2,3237.48,22.82,0.7887,0.0054,38,22395.0,3
4096,6,3,1119.93,51.9,0.273,0.0128,21,39237.0,3
4096,6,5,1077.71,14.59,0.2627,0.0037,17,34021.7,3
65536,6,1,18048.73,555.6,0.275,0.0088,17,31978.3,3
65536,6,2,45874.18,1605.36,0.6987,0.0249,30.3,19845.7,3
65536,6,3,45476.19,3165.46,0.6927,0.048,37,23684.3,3
65536,6,5,45103.16,3378.47,0.687,0.0517,36.7,24368.0,3
1024,9,1,537.41,2.02,0.5237,0.0017,25,21003.7,3
1024,9,2,526.49,5.06,0.5133,0.0047,25.3,22730.0,3
1024,9,3,530.01,3.97,0.516,0.0042,26,22794.7,3
1024,9,5,533.43,1.95,0.52,0.0016,25.7,22939.7,3
4096,9,1,750.98,38.55,0.183,0.0096,11.3,29592.0,3
4096,9,2,1197.27,455.86,0.292,0.1112,16.3,29749.0,3
4096,9,3,2051.66,5.45,0.5,0.0014,24,22056.7,3
4096,9,5,2022.75,23.44,0.4927,0.0059,25,24498.0,3
65536,9,1,11896.49,416.72,0.181,0.0065,11.7,31877.0,3
65536,9,2,18380.76,1306.48,0.2803,0.0197,15.3,26002.0,3
65536,9,3,21969.73,8411.04,0.3347,0.1283,21,27089.0,3
65536,9,5,33501.0,170.28,0.5103,0.0029,25,22722.3,3
1024,12,1,404.83,3.92,0.3947,0.004,19,21212.7,3
1024,12,2,401.66,3.19,0.3913,0.0034,19,22466.3,3
1024,12,3,399.49,0.34,0.3893,0.0005,19,23095.0,3
1024,12,5,399.38,1.88,0.3897,0.0019,19.3,23101.3,3
4096,12,1,1588.7,9.07,0.387,0.0024,18.7,21008.0,3
4096,12,2,1560.75,4.68,0.3803,0.0012,19,23819.3,3
4096,12,3,1510.81,46.01,0.3683,0.0111,18.3,23767.3,3
4096,12,5,1393.44,61.54,0.3397,0.0152,17.3,22856.7,3
65536,12,1,25206.36,187.38,0.384,0.0028,19,22412.7,3
65536,12,2,24993.6,186.83,0.3807,0.0025,18.3,21999.7,3
65536,12,3,25303.15,417.47,0.3853,0.0062,18.7,22477.0,3
65536,12,5,25062.9,251.6,0.382,0.0036,19,23233.7,3
1024,15,1,320.38,0.67,0.3123,0.0009,15.7,21907.0,3
1024,15,2,318.56,2.22,0.3107,0.0019,15.3,22922.0,3
1024,15,3,319.43,2.72,0.3113,0.0025,15.3,23160.7,3
1024,15,5,316.4,2.86,0.3087,0.0025,15.7,22840.7,3
4096,15,1,1171.48,23.41,0.2853,0.0057,14,22928.3,3
4096,15,2,1155.6,13.75,0.2813,0.0034,13.3,20977.0,3
4096,15,3,755.98,311.71,0.1843,0.0761,12.3,30686.0,3
4096,15,5,609.07,191.33,0.1483,0.0467,10.3,38046.0,3
65536,15,1,20345.19,254.63,0.3097,0.0034,15,22477.7,3
65536,15,2,19788.27,172.41,0.3013,0.0026,15,22139.0,3
65536,15,3,19975.71,195.89,0.3043,0.0031,15.3,23391.0,3
65536,15,5,19998.33,153.06,0.3047,0.0021,15,23234.0,3
