hidden_bytes_B,k,segments_limit,mean_throughput_Bps,stdev_throughput_Bps,mean_post_qps,stdev_post_qps,n_runs
1024,1,6,805.55,16.37,0.785,0.016,3
1024,2,6,804.41,7.63,0.784,0.007,3
1024,3,6,806.48,9.08,0.785,0.01,3
1024,5,6,797.1,1.72,0.777,0.002,3
4096,1,6,3222.48,30.08,0.786,0.007,3
4096,2,6,3237.48,22.82,0.789,0.005,3
4096,3,6,1119.93,51.9,0.273,0.013,3
4096,5,6,1077.71,14.59,0.263,0.004,3
65536,1,6,18048.73,555.6,0.275,0.009,3
65536,2,6,45874.18,1605.36,0.699,0.025,3
65536,3,6,45476.19,3165.46,0.693,0.048,3
65536,5,6,45103.16,3378.47,0.687,0.052,3
